datetime,pv_to_house_frac,pv_to_batt_frac,batt_to_house_frac,grid_to_batt_frac,soc_kWh,house_energy_kWh,battery_energy_kWh,grid_energy_kWh,consumption_kWh,pv_production_kWh,step_cost_eur
2023-01-01 00:00:00,0.6949218511581421,0.31316518783569336,0.0030518174171447754,0.02648681402206421,0.125812366604805,0.2597880503769135,0.13243407011032104,4.735503867268562,0.2597880503769135,0.0,0.0
2023-01-01 01:00:00,0.8531215786933899,0.38137251138687134,0.0048444271087646484,0.03391179442405701,0.2868933901190758,0.2049237345594495,0.16955897212028503,0.0,0.2049237345594495,0.0,-0.03744827066797345
2023-01-01 02:00:00,0.8396248817443848,0.3719215393066406,0.002233356237411499,0.020300179719924927,0.3833192437887192,0.177512072461465,0.10150089859962463,0.0,0.177512072461465,0.0,-0.3710872515112492
2023-01-01 03:00:00,0.6061412692070007,0.34101182222366333,0.0009740293025970459,0.016104668378829956,0.45981641858816147,0.1875941066632982,0.08052334189414978,0.0,0.1875941066632982,0.0,-1.0939191901143879
2023-01-01 04:00:00,0.22111576795578003,0.3089284896850586,0.001654297113418579,0.021477699279785156,0.561835490167141,0.2824891331324769,0.10738849639892578,0.0,0.2824891331324769,0.0,-1.6218909388506353
2023-01-01 05:00:00,0.09868592023849487,0.2666894197463989,0.008641332387924194,0.04920262098312378,0.7955479398369789,0.379678442520703,0.2460131049156189,0.0,0.379678442520703,0.0,-2.2399757398220324
2023-01-01 06:00:00,0.07273197174072266,0.25115278363227844,0.06611812114715576,0.173610121011734,1.6201960146427155,0.8039456244761057,0.86805060505867,0.0,0.8039456244761057,0.0,-7.30662352306697
2023-01-01 07:00:00,0.07880553603172302,0.15025544166564941,0.36371827125549316,0.23914948105812073,1.1359600350260735,1.19816810070653,1.1957474052906036,0.9793560650467359,1.19816810070653,0.0,-0.10256751505038647
2023-01-01 08:00:00,0.05117043852806091,0.13989830017089844,0.4316857159137726,0.18413853645324707,0.8746580481529236,0.8040397878369302,0.9206926822662354,0.6133031983535883,0.8040397878369302,0.0,-0.038734226209703744
2023-01-01 09:00:00,0.04768672585487366,0.11963522434234619,0.23587027192115784,0.03709983825683594,1.0637228481367826,0.5419107586766492,0.19901557893037797,0.09407596606671809,0.5419107586766492,0.11298,0.0
2023-01-01 10:00:00,0.09965333342552185,0.07537934184074402,0.07619848847389221,0.009930908679962158,0.05610879099845878,0.4733256328371112,0.05906188526153564,1.0364912583327055,0.4733256328371112,0.1248,0.0
2023-01-01 11:00:00,0.17288580536842346,0.06886276602745056,0.015573292970657349,0.008932441473007202,0.12029514778438202,0.49140433730202127,0.06756458609044552,0.2521792601251602,0.4914043373020212,0.33258,0.0
2023-01-01 12:00:00,0.20561134815216064,0.14350807666778564,0.0032562613487243652,0.028533130884170532,0.3672058598829805,0.8915185450244208,0.25990601273536684,0.5317433946990967,0.8915185450244208,0.81696,0.0
2023-01-01 13:00:00,0.17000314593315125,0.13484814763069153,0.000870823860168457,0.08426812291145325,0.821045577940166,0.6569044083076451,0.4777260190075636,0.2906694801092148,0.6569044083076451,0.41814,0.07164904273152085
2023-01-01 14:00:00,0.14090362191200256,0.14562731981277466,0.0006555318832397461,0.27286744117736816,2.1513650433174965,0.5165770383222017,1.4003362793445586,0.176369551205635,0.5165770383222017,0.2471999999999999,2.5045699765001403
2023-01-01 15:00:00,0.034672945737838745,0.1086931824684143,0.0038301050662994385,0.10684201121330261,0.524816007628143,0.6140879701976563,0.5524379027664661,2.1796263350071565,0.6140879701976563,0.1677,-24.55681657740623
2023-01-01 16:00:00,0.012822836637496948,0.125726580619812,0.015424758195877075,0.020404726266860962,0.6217384573957325,0.8227907050881658,0.10202363133430481,0.0,0.8227907050881658,0.0,33.79271585287707
2023-01-01 17:00:00,0.012073755264282227,0.1106671392917633,0.007248789072036743,0.007290661334991455,0.6563690987369419,1.3445786341440262,0.036453306674957275,0.0,1.3445786341440262,0.0,63.568900235897814
2023-01-01 18:00:00,0.01409304141998291,0.1736506223678589,0.008339613676071167,0.01111719012260437,0.7091757518193127,1.754581164797385,0.05558595061302185,0.0,1.754581164797385,0.0,80.42572493768438
2023-01-01 19:00:00,0.004968404769897461,0.3375329375267029,0.10719573497772217,0.0029643476009368896,0.7232564029237629,1.7634735356418765,0.014821738004684448,0.0,1.7634735356418765,0.0,97.71732528687853
2023-01-01 20:00:00,0.00838083028793335,0.3564012050628662,0.4112919867038727,0.0035235583782196045,0.739993305220306,1.402829936292757,0.017617791891098022,0.0,1.402829936292757,0.0,67.30081336135106
2023-01-01 21:00:00,0.013388335704803467,0.154363214969635,0.6375840902328491,0.0031059980392456055,0.7547467959067227,1.0092523573402772,0.015529990196228027,0.0,1.0092523573402772,0.0,41.237241664868975
2023-01-01 22:00:00,0.004171520471572876,0.1476694643497467,0.9216173887252808,0.001993238925933838,0.7642146808049084,0.6369590618477872,0.00996619462966919,0.0,0.6369590618477872,0.0,29.732684787703896
2023-01-01 23:00:00,0.011958390474319458,0.1327356994152069,0.7320926189422607,0.0020176470279693604,0.7737985041877629,0.4452106681436047,0.010088235139846802,0.0,0.4452106681436047,0.0,15.935461614920802
2023-01-02 00:00:00,0.8229758739471436,0.30074822902679443,0.9237967133522034,0.0020300745964050293,0.7834413585206867,0.2064607161635452,0.010150372982025146,0.0,0.2064607161635452,0.0,13.295588651755107
2023-01-02 01:00:00,0.1875379979610443,0.12236788868904114,0.9103196859359741,0.005879133939743042,0.8113672447344662,0.1857588710685198,0.02939566969871521,0.0,0.1857588710685198,0.0,11.334341207617939
2023-01-02 02:00:00,0.0170324444770813,0.09806191921234131,0.9508306980133057,0.007936269044876099,0.8490645226976277,0.1846501671477539,0.03968134522438049,0.0,0.1846501671477539,0.0,11.873866949857073
2023-01-02 03:00:00,0.005600184202194214,0.14165857434272766,0.9218659996986389,0.009580552577972412,0.8945721474429966,0.1888166043719423,0.04790276288986206,0.0,0.1888166043719423,0.0,10.119752950442138
2023-01-02 04:00:00,0.02254822850227356,0.1819687783718109,0.9824657440185547,0.004348784685134888,0.9152288746973873,0.2440467402070139,0.02174392342567444,0.0,0.2440467402070139,0.0,13.310796434725031
2023-01-02 05:00:00,0.35352545976638794,0.21679222583770752,0.9990553855895996,0.0006366968154907227,0.9182531845709683,0.3947378646091118,0.0031834840774536133,0.0,0.3947378646091118,0.0,27.022838789304657
2023-01-02 06:00:00,0.929149866104126,0.7002432346343994,0.9999902248382568,4.6193599700927734e-06,0.9182751265308262,0.8267767912100701,2.3096799850463867e-05,0.0,0.8267767912100701,0.0,86.88013223208245
2023-01-02 07:00:00,0.987412691116333,0.9455715417861938,0.9999997615814209,5.960464477539063e-08,0.9182754096528889,1.038390614314118,2.980232238769531e-07,0.0,1.038390614314118,0.0,146.03929791112373
2023-01-02 08:00:00,0.7867631912231445,0.8404039144515991,1.0,2.9802322387695312e-08,1.0920198160837293,0.6897297448281109,0.18288884887456894,0.0,0.6897297448281109,0.21762,77.67347032722817
2023-01-02 09:00:00,0.02475661039352417,0.07199230790138245,1.0,1.1920928955078125e-07,0.12366139356479056,1.082181252532074,0.13016988796293735,1.6331682808309793,0.4560778348697168,1.8081,-252.58571412877566
2023-01-02 10:00:00,0.004191368818283081,0.00862923264503479,0.9999997019767761,1.1026859283447266e-06,0.14875574555215246,0.345213991871116,0.0264151073551178,3.021242805633545,0.345213991871116,3.06048,-391.5235796616681
2023-01-02 11:00:00,0.0012267827987670898,0.0024802982807159424,0.9999967813491821,1.4007091522216797e-06,0.15737847893056278,0.3391809459311263,0.009076561450958252,3.6430845390415194,0.3391809459311263,3.65664,-474.2566303167782
2023-01-02 12:00:00,0.0007925629615783691,0.0018842816352844238,0.9999892711639404,1.043081283569336e-06,0.164235275141269,0.6565046535472817,0.007217680221796036,3.8174538419365884,0.6565046535472817,3.8277,-456.81509545042053
2023-01-02 13:00:00,0.0008025765419006348,0.0015153586864471436,0.9999889135360718,4.76837158203125e-07,0.16932712684646253,0.4925231220763121,0.0053598439002037045,3.5272450790762897,0.4925231220763121,3.53544,-436.679199211216
2023-01-02 14:00:00,0.00270196795463562,0.009221941232681274,0.9999954700469971,1.7881393432617188e-07,0.19570197193893796,0.4369859256140444,0.027762994834184648,2.9745437868261337,0.4369859256140444,3.01044,-377.2714179895724
2023-01-02 15:00:00,0.010257691144943237,0.09892156720161438,0.9999983310699463,5.960464477539063e-08,0.38797046670144797,0.44372544812381043,0.2023878892236948,1.8225657881784436,0.4437254481238105,2.04594,-217.44907377643852
2023-01-02 16:00:00,0.9311782121658325,0.9992085695266724,0.9998033046722412,1.7881393432617188e-07,0.387971316067636,0.5546164505885007,8.940696716308594e-07,0.0,0.5546164505885007,0.0,90.49691212787398
2023-01-02 17:00:00,0.9315453767776489,0.9999367594718933,0.9997279644012451,2.980232238769531e-07,0.38797273167794943,1.0320662028480274,1.4901161193847656e-06,0.0,1.0320662028480274,0.0,179.37336503716872
2023-01-02 18:00:00,0.9102519750595093,0.999954104423523,0.9999585151672363,1.7881393432617188e-07,0.3879735810441375,1.3886823781005893,8.940696716308594e-07,0.0,1.3886823781005893,0.0,242.6585149790314
2023-01-02 19:00:00,0.8905036449432373,0.9999414682388306,0.999971866607666,3.8743019104003906e-07,0.3879754213375449,1.3014596515944978,1.9371509552001953e-06,0.0,1.3014596515944978,0.0,215.73027295044628
2023-01-02 20:00:00,0.8817362785339355,0.9999113082885742,0.9999850988388062,3.6954879760742188e-06,0.3879929749054313,1.114953069797373,1.8477439880371094e-05,0.0,1.114953069797373,0.0,170.59064672729977
2023-01-02 21:00:00,0.9399563074111938,0.999835729598999,0.9999890327453613,5.334615707397461e-06,0.3880183143300414,0.9495096372289356,2.6673078536987305e-05,0.0,0.9495096372289356,0.0,134.5208090812596
2023-01-02 22:00:00,0.9333534240722656,0.9986580610275269,0.9999953508377075,6.854534149169922e-06,0.38805087336724997,0.5814761216168877,3.427267074584961e-05,0.0,0.5814761216168877,0.0,78.45156729334464
2023-01-02 23:00:00,0.8962761163711548,0.9854907989501953,0.9999867677688599,1.2427568435668945e-05,0.3881099043173194,0.4278619204425288,6.213784217834473e-05,0.0,0.4278619204425288,0.0,53.15672652012632
2023-01-03 00:00:00,0.9968044757843018,0.7297491431236267,0.9998654127120972,2.73287296295166e-05,0.3882397157830596,0.4258673569899908,0.000136643648147583,0.0,0.4258673569899908,0.0,55.384780122964365
2023-01-03 01:00:00,0.9166475534439087,0.5327703952789307,0.9999145269393921,5.167722702026367e-05,0.38848518261140585,0.3908068291400755,0.00025838613510131836,0.0,0.3908068291400755,0.0,46.92782583302122
2023-01-03 02:00:00,0.6540420055389404,0.3994787335395813,0.9999542832374573,3.489851951599121e-05,0.3886509505791068,0.4246700094512575,0.00017449259757995605,0.0,0.4246700094512575,0.0,50.454533063319936
2023-01-03 03:00:00,0.5458375811576843,0.3939831852912903,0.9999474287033081,1.1801719665527344e-05,0.38870700874751807,0.4236729099305971,5.900859832763672e-05,0.0,0.4236729099305971,0.0,48.729170630826346
2023-01-03 04:00:00,0.7336685061454773,0.4132492244243622,0.9999277591705322,1.481175422668457e-05,0.3887773645800948,0.4511296583145355,7.405877113342285e-05,0.0,0.4511296583145355,0.0,51.27027837244456
2023-01-03 05:00:00,0.9301315546035767,0.4293920397758484,0.9999821186065674,4.0531158447265625e-06,0.38879661688035727,0.5537113086788761,2.0265579223632812e-05,0.0,0.5537113086788761,0.0,64.38237013898924
2023-01-03 06:00:00,0.9851500988006592,0.9612877368927002,0.9999992847442627,1.4901161193847656e-07,0.388797324685514,0.9369310029237184,7.450580596923828e-07,0.0,0.9369310029237184,0.0,130.1585584296286
2023-01-03 07:00:00,0.9968408346176147,0.9906628131866455,0.9999998807907104,0.0,0.388797324685514,1.1778298087751444,0.0,0.0,1.1778298087751444,0.0,188.35854301932108
