date,step_cost_eur,degradation_penalty,pv_production_kWh,consumption_kWh,pv_to_grid_kWh,discharge_to_grid_kWh,grid_to_house_kWh,total_cost,total_sold
2023-01-01,3.176541773529058,0.0073827920728457746,2.22036,17.663543806697458,0.9867246918286083,4.962899270612276,16.23723620438345,3.1839245656019037,5.949623962440884
2023-01-02,1.7869356787273332,0.0076642579018621195,21.16236,14.480205468170935,12.061320048570781,2.332441368895198,11.2965269333313,1.7945999366291954,14.39376141746598
2023-01-03,1.9995149861612065,0.007378843905914759,17.114160000000002,15.790266481506832,8.93174031821546,2.4048344645985447,11.964051571648367,2.006893830067121,11.336574782814004
2023-01-04,2.371259499117875,0.0033207347394512824,2.62254,13.18626314718393,1.1575773899971245,1.0554684394363831,11.667757560572168,2.3745802338573263,2.213045829433508
2023-01-05,1.7528591756013325,0.007576270274507544,14.29452,13.393086937631624,5.89499283628884,2.147048280168498,9.846490071929148,1.76043544587584,8.042041116457337
2023-01-06,2.5415128442831674,0.0028572278967497183,3.3423,13.878615496732749,1.3976226742597817,0.7362851126422135,12.459668615415177,2.544370072179917,2.1339077869019953
2023-01-07,3.1120800646813698,0.0034012211078948036,1.9569599999999998,17.010751114957998,0.7592696037965116,0.903908324276565,15.30504600909563,3.1154812857892646,1.6631779280730767
2023-01-08,3.0830291570137556,0.002175955994942197,1.65468,16.16807660716775,0.6653609997730847,0.4682378669228153,15.006410431327394,3.0852051130086977,1.1335988666959
2023-01-09,2.6126068772426314,0.005980709959354036,9.83508,16.615313961146587,3.8669199637569487,1.5323892625791433,13.617954225870577,2.6185875872019855,5.399309226336092
2023-01-10,2.4290055257737806,0.003970866505881879,4.18002,14.114639331433093,1.8209423557569977,1.4037827580310567,12.223056930250712,2.4329763922796626,3.2247251137880544
2023-01-11,1.6858684679982887,0.006614833086457971,17.79882,13.60554932173102,9.525719654956253,2.14813652072319,10.317405128108195,1.6924833010847466,11.673856175679443
2023-01-12,2.297568981660163,0.002910047299246041,4.53816,13.08526343542914,1.8492662034626302,0.6925332472857814,11.44093695362209,2.300479028959409,2.5417994507484116
2023-01-13,2.0662157916828536,0.006316946893452084,8.85906,13.44012950226096,3.7310824806137686,2.1971396683868996,10.927911397406199,2.0725327385763057,5.928222149000668
2023-01-14,2.8253947642087147,0.002013299180711992,1.5892799999999998,14.755834073813237,0.7422710382665094,0.6397510274091535,13.909849592153702,2.8274080633894267,1.3820220656756628
2023-01-15,2.796927507779633,0.006672527913608694,8.84436,17.508445193644643,3.4799829161749187,1.9597158170063302,14.701919306001164,2.803600035693242,5.439698733181249
2023-01-16,2.909342276882913,0.004769865564963272,7.4764800000000005,17.941519371815055,3.631493048864454,1.176085961813975,14.985645714460526,2.9141121424478764,4.807579010678429
2023-01-17,3.1245309201247826,0.0071781322624052055,6.16398,19.880867448655295,1.7680650050257443,1.8389744460130188,16.07291064737033,3.1317090523871878,3.607039451038763
2023-01-18,3.5752830116321976,0.010066910294185332,9.98958,23.09121528634359,2.4016175050695243,1.9827956044297985,18.454702096375414,3.585349921926383,4.384413109499323
2023-01-19,4.32105901427764,0.003855086009443675,1.4141999999999997,22.84470309497663,0.2944365332545635,0.6961854401404957,21.1438869853688,4.324914100287084,0.9906219733950592
2023-01-20,3.182514327441205,0.014438380756657548,20.620260000000002,26.005184098587566,8.107074172240823,3.74175029320567,18.056053742750642,3.1969527081978626,11.848824465446494
2023-01-21,3.3851068210585122,0.013118426793666189,25.451520000000002,27.478020108102807,9.792136872909756,3.554537315757959,19.98912812146966,3.3982252478521784,13.346674188667716
2023-01-22,3.773135912165885,0.017344455291374503,18.13608,29.607709521233694,5.238155203535289,4.111380315793872,20.451322721464457,3.7904803674572594,9.349535519329162
2023-01-23,4.062042836734355,0.010289708740727134,6.94782,25.323179893391288,1.1807431296719317,2.334197195738025,21.076309081550857,4.072332545475081,3.514940325409957
2023-01-24,4.307919551442887,0.004957812427582431,2.62908,23.556509374982706,0.3661109184933899,1.0400663851789442,21.55965837524126,4.312877363870469,1.4061773036723342
2023-01-25,4.483094183454041,0.004434838767903905,1.7522999999999997,23.967373858744768,0.2013965852803584,0.6792858402047008,21.934655567309452,4.487529022221945,0.8806824254850593
2023-01-26,4.171676173749414,0.006382325646438543,3.71718,23.53752282730963,0.6761135982664523,1.2162828892895474,20.569567152322723,4.178058499395852,1.8923964875559998
2023-01-27,3.3898497020990064,0.007863092807903543,7.686,21.197099142413258,2.834879350918561,2.002839762522774,17.41202557176666,3.39771279490691,4.837719113441334
2023-01-28,3.5825121032207825,0.008885513896907438,10.35696,23.97826761638941,3.995237610038907,2.094789646642621,18.60504828037257,3.59139761711769,6.090027256681528
2023-01-29,3.0468251681876364,0.01471514981716692,25.4853,27.148931193944605,9.657124891417176,3.7996112273742972,18.09184744664378,3.0615403180048033,13.456736118791474
2023-01-30,3.2075494782232687,0.009772382899884469,10.2534,22.583578395536307,2.36458843234241,2.4137121212859687,16.872385201571422,3.2173218611231533,4.7783005536283785
2023-01-31,2.279086298497457,0.009934309692173415,17.56776,18.334248918496105,7.740504250651092,2.7265779128466825,13.151163426309122,2.2890206081896305,10.467082163497775
2023-02-01,2.2493552040440665,0.010585955563607407,19.477800000000002,18.664307647741396,8.729264163083911,3.3915726960539736,13.338609074307472,2.2599411596076737,12.120836859137885
2023-02-02,2.7168986522709964,0.008133880679717133,10.59024,18.39086440790047,3.8016222650630773,2.1825724419195995,14.384926020396257,2.7250325329507135,5.984194706982677
