hour,step_cost_eur,pv_production_kWh,consumption_kWh,pv_to_grid_kWh,discharge_to_grid_kWh,grid_to_house_kWh,buy_price,sell_price,total_sold
0,0.049062923917119305,0.0,0.29933360346228555,0.0,9.1034784362313,106.40790063100327,0.147,0.04,9.1034784362313
1,0.042503948919998855,0.0,0.2513210643108545,0.0,7.160959772057041,87.6533372080274,0.147,0.04,7.160959772057041
2,0.04189076412668373,0.0,0.2568633568681529,0.0,12.14169971890644,86.7517504316911,0.147,0.04,12.14169971890644
3,0.043060646524391726,0.0,0.26068857004859963,0.0,11.403184424851803,90.15428867620393,0.147,0.04,11.403184424851803
4,0.04966175079417872,0.0,0.3167991316304479,0.0,11.617115008185593,108.70928674773559,0.147,0.04,11.617115008185593
5,0.06469395930179686,0.017120054794520542,0.4222353492886819,0.938739667088892,3.765972375814501,146.53992291149441,0.147,0.04,4.704712042903393
6,0.16259164548064664,0.09590136986301369,0.8325457403571288,3.913156678699665,6.169560647654469,273.479784927735,0.20999999999999996,0.04,10.082717326354135
7,0.15288018335557843,0.46697720547945204,1.036910180843202,34.14989283534916,11.08841812429129,264.68439737915855,0.20999999999999996,0.04,45.23831095964045
8,0.04508941718521843,1.2191008767123288,0.7182959823380152,190.60501052608305,32.19573000688346,111.56281283282149,0.20999999999999996,0.04,222.8007405329665
9,-0.025539714335137916,1.933270684931507,0.49216113669044764,424.0350167588204,67.42629862234422,41.01315330166372,0.20999999999999996,0.04,491.46131538116464
10,-0.049246694178494047,2.4497991780821917,0.4303235142923996,556.6026672525817,74.43641412203002,26.43328771485353,0.20999999999999996,0.04,631.0390813746117
11,-0.06362853200664446,2.8420272328767124,0.4253406383718128,629.6487730454168,98.45527424759122,19.203100336264654,0.20999999999999996,0.04,728.104047293008
12,-0.043824049006485837,2.946455506849315,0.7828361432530232,626.3290200014127,104.10181733952037,54.56444657013601,0.20999999999999996,0.04,730.4308373409331
13,-0.05978151040387199,2.8089453698630136,0.5715781446323303,665.3880178801118,91.48606992078044,31.63588426441192,0.20999999999999996,0.04,756.8740878008922
14,-0.045703014980014826,2.481274520547945,0.46488093433568695,557.7856906740359,53.23071272678388,28.285778336170935,0.20999999999999996,0.04,611.0164034008197
15,-0.021211943158169308,1.990959287671233,0.5163678471831689,379.06832095089317,50.985301675960464,37.588031917256494,0.20999999999999996,0.04,430.0536226268536
16,0.028548233704440682,1.1901670684931507,0.6724244073114619,86.9858714699757,79.16986496244758,74.02727244498051,0.20999999999999996,0.04,166.15573643242328
17,0.11804807579479454,0.4973958904109589,1.0877733273332733,12.997255403216776,98.66737186913701,217.423615218625,0.20999999999999996,0.04,111.66462727235378
18,0.24646237544232136,0.0896156712328767,1.3102549740198308,0.21977693161350412,23.980738463942682,423.473201912999,0.20999999999999996,0.04,24.200515395556188
19,0.2948206147595279,0.01092147945205479,1.4087840829090341,0.0025534997119903,5.138626442886011,504.4577451993909,0.20999999999999996,0.04,5.141179942598002
20,0.2360305362519067,0.0,1.1078852002469295,0.0,1.3855314660992872,402.71980284072026,0.20999999999999996,0.04,1.3855314660992872
21,0.19179485337049176,0.0,0.9040686110546593,0.0,4.124356178680798,327.03945141715,0.20999999999999996,0.04,4.124356178680798
22,0.0910172611874072,0.0,0.5988303834559866,0.0,0.5981657712708113,217.56158697773492,0.147,0.04,0.5981657712708113
23,0.06154184620148567,0.0,0.39965677002508343,0.0,1.4717777665004599,144.07277022119501,0.147,0.04,1.4717777665004599
