datetime,pv_to_house_frac,pv_to_batt_frac,batt_to_house_frac,grid_to_batt_frac,soc_kWh,pv_to_house_kWh,discharge_to_house_kWh,grid_to_house_kWh,pv_to_batt_kWh,grid_to_batt_kWh,pv_to_grid_kWh,discharge_to_grid_kWh,consumption_kWh,pv_production_kWh,step_cost_eur,degradation_penalty,buy_price,sell_price,hour,temperature_C,date,month,is_selling,could_store,soc_zone
2023-01-01 00:00:00,0.572697639465332,0.2953419685363769,0.102808654308319,0.0084922909736633,0.0403383821249008,0.0,0.5140432715415955,0.0,0.0,0.0424614548683166,0.0,4.4859567284584045,0.2597880503769135,0.0,-0.1731964352726936,0.0050403383821249,0.147,0.04,0,14.2,2023-01-01,1,True,True,0-25%
2023-01-01 01:00:00,0.5462460517883301,0.2370038628578186,0.3707172870635986,0.0102490484714508,0.0890213623642921,0.0,0.0,0.2049237345594495,0.0,0.051245242357254,0.0,0.0,0.2049237345594495,0.0,0.0376568396067554,4.868298023939133e-05,0.147,0.04,1,14.0,2023-01-01,1,False,False,0-25%
2023-01-01 02:00:00,0.4973227381706238,0.2241562008857727,0.4156330525875091,0.0118747055530548,0.1454262137413025,0.0,0.0,0.177512072461465,0.0,0.059373527765274,0.0,0.0,0.177512072461465,0.0,0.0348221832333306,5.6404851377010345e-05,0.147,0.04,2,13.3,2023-01-01,1,False,False,0-25%
2023-01-01 03:00:00,0.4593674540519714,0.2636414170265198,0.4434267580509186,0.0120528638362884,0.2026773169636726,0.0,0.0,0.1875941066632982,0.0,0.0602643191814422,0.0,0.0,0.1875941066632982,0.0,0.0364351885991768,5.725110322237015e-05,0.147,0.04,3,13.2,2023-01-01,1,False,False,0-25%
2023-01-01 04:00:00,0.4459497630596161,0.1923208832740783,0.4650020897388458,0.015773057937622,0.2775993421673774,0.0,0.0,0.2824891331324769,0.0,0.0788652896881103,0.0,0.0,0.2824891331324769,0.0,0.0531191001546263,7.492202520370483e-05,0.147,0.04,4,13.5,2023-01-01,1,False,False,0-25%
2023-01-01 05:00:00,0.5330301523208618,0.674889326095581,0.4904115796089172,0.0159228444099426,0.3532328531146049,0.0,0.0,0.379678442520703,0.0,0.0796142220497131,0.0,0.0,0.379678442520703,0.0,0.0675160216918511,7.563351094722748e-05,0.147,0.04,5,12.8,2023-01-01,1,False,False,0-25%
2023-01-01 06:00:00,0.5452557802200317,0.574058473110199,0.4054377377033233,0.00851970911026,0.39370147138834,0.0,0.0,0.8039456244761057,0.0,0.0425985455513,0.0,0.0,0.8039456244761057,0.0,0.1777742757057552,4.0468618273735045e-05,0.21,0.04,6,12.6,2023-01-01,1,False,False,0-25%
2023-01-01 07:00:00,0.533552885055542,0.6234059929847717,0.4545268416404724,0.0079321265220642,0.431379072368145,0.0,0.0,1.19816810070653,0.0,0.039660632610321,0.0,0.0,1.19816810070653,0.0,0.2599440339965387,3.7677600979805e-05,0.21,0.04,7,12.1,2023-01-01,1,False,False,0-25%
2023-01-01 08:00:00,0.3343239426612854,0.6044496893882751,0.4948764443397522,0.0072177052497863,0.4656631723046303,0.0,0.0,0.8040397878369302,0.0,0.0360885262489318,0.0,0.0,0.8040397878369302,0.0,0.176426945958031,3.428409993648529e-05,0.21,0.04,8,11.7,2023-01-01,1,False,False,0-25%
2023-01-01 09:00:00,0.2642090916633606,0.5025737881660461,0.4900173544883728,0.0061454474925994,0.5487957951521277,0.0298503431761264,0.0,0.5120604155005227,0.0539417472576498,0.0307272374629974,0.0291879095662236,0.0,0.5419107586766492,0.11298,0.1128178907396902,8.313262284749746e-05,0.21,0.04,9,11.8,2023-01-01,1,True,True,0-25%
