datetime,step,pv_to_house_frac,pv_to_batt_frac,batt_to_house_frac,grid_to_batt_frac,soc_kWh,pv_to_house_kWh,pv_to_batt_kWh,pv_to_grid_kWh,discharge_to_house_kWh,discharge_to_grid_kWh,grid_to_batt_kWh,grid_to_house_kWh,consumption_kWh,pv_production_kWh,step_cost_eur,degradation_penalty,reward
2023-01-01 03:00:00,0,-9.996316,0.14350319,-7.3922153,9.909651,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1875941066632982,0.0,0.0,0.005,-0.013000000000000001
2023-01-01 04:00:00,1,3.8096504,-5.3115883,-2.5056906,-7.601942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824891331324769,0.2824891331324769,0.0,0.0415259025704741,0.0,-0.0495259025704741
2023-01-01 05:00:00,2,9.619358,-0.3113861,5.974165,-0.5779362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379678442520703,0.379678442520703,0.0,0.05581273105054334,0.0,-0.06381273105054333
2023-01-01 06:00:00,3,9.7184105,3.6138592,7.7924156,3.9813976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8039456244761057,0.8039456244761057,0.0,0.1688285811399822,0.0,-0.1768285811399822
2023-01-01 07:00:00,4,9.891779,5.2864285,8.214561,3.0911589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19816810070653,1.19816810070653,0.0,0.2516153011483713,0.0,-0.2596153011483713
2023-01-01 08:00:00,5,9.5993595,6.6726284,7.080839,-3.454588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8040397878369302,0.8040397878369302,0.0,0.16884835544575533,0.0,-0.17684835544575533
2023-01-01 09:00:00,6,9.168095,4.796876,6.671068,-4.1651764,0.0012385932777039706,0.10318135870099067,0.0012385932777039706,0.00849486437290907,0.0,0.0,0.0,0.4387293999756585,0.5419107586766492,0.11298,0.09179337941997191,1.2385932777039705e-06,-0.10051420429839149
2023-01-01 10:00:00,7,8.823898,0.6946316,3.205145,-0.52501583,0.0012734062921218572,0.12431219501495361,3.481301441788673e-05,0.00045114910081028934,0.0,0.0,0.0,0.3490134378221576,0.4733256328371112,0.1248,0.07327477597862067,3.4813014417886735e-08,-0.08131061165261971
2023-01-01 11:00:00,8,8.754124,-4.4492283,-2.0597625,6.941185,0.001273989022053958,0.3325727050209045,5.82729932100733e-07,6.690757650212617e-06,0.0,0.0,0.0,0.15883163228111669,0.4914043373020212,0.33258,0.03335437514872849,5.82729932100733e-10,-0.041352396467814585
2023-01-01 12:00:00,9,8.466913,-6.573491,-6.4120502,6.288168,0.0012742170350350144,0.816959513053894,2.280129810565086e-07,2.8206474021317264e-07,0.0,0.0,0.0,0.07455903197052682,0.8915185450244208,0.81696,0.015657385431221024,2.280129810565086e-10,-0.023654861200666854
2023-01-01 13:00:00,10,7.4511795,-6.6390033,-5.824703,-0.76942825,0.0012745188601885628,0.4181390030765534,3.018251535484069e-07,7.17262383252546e-07,0.0,0.0,0.0,0.2387654052310917,0.6569044083076451,0.41814,0.050140706408033926,3.018251535484069e-10,-0.05813821863944128
2023-01-01 14:00:00,11,5.5916767,-3.4331388,-4.7389727,-3.222558,0.001302785749906342,0.2471621623992919,2.826688971777911e-05,8.061910956166682e-06,0.0,0.0,0.0,0.2694148759229098,0.5165770383222017,0.2471999999999999,0.05657680146737281,2.826688971777911e-08,-0.06457490942519399
2023-01-01 15:00:00,12,1.9169731,0.3174343,-6.238118,-2.5599947,0.02806865260648135,0.1394853305518627,0.026765866856575008,4.006982125720242e-05,0.0,0.0,0.0,0.4746026396457935,0.6140879701976563,0.1677,0.09966495153276635,2.6765866856575008e-05,-0.10763898602921683
2023-01-01 16:00:00,13,-9.51337,7.081148,-5.457025,1.8598566,0.02806865260648135,0.0,0.0,0.0,0.0,0.0,0.0,0.8227907050881658,0.8227907050881658,0.0,0.1727860480685148,0.0,-0.18072991076330183
