agent_date,agent_action_pv_to_house,agent_action_pv_to_batt,agent_action_batt_to_house,agent_action_grid_to_batt,agent_soc_kWh,agent_house_consumed_kWh,agent_pv_to_house_kWh,agent_pv_to_batt_kWh,agent_pv_to_grid_kWh,agent_batt_to_house_kWh,agent_batt_to_grid_kWh,agent_grid_to_batt_kWh,agent_grid_to_house_kWh,agent_step_cost_€,random_date,random_action_pv_to_house,random_action_pv_to_batt,random_action_batt_to_house,random_action_grid_to_batt,random_soc_kWh,random_house_consumed_kWh,random_pv_to_house_kWh,random_pv_to_batt_kWh,random_pv_to_grid_kWh,random_batt_to_house_kWh,random_batt_to_grid_kWh,random_grid_to_batt_kWh,random_grid_to_house_kWh,random_step_cost_€,rule_date,rule_action_pv_to_house,rule_action_pv_to_batt,rule_action_batt_to_house,rule_action_grid_to_batt,rule_soc_kWh,rule_house_consumed_kWh,rule_pv_to_house_kWh,rule_pv_to_batt_kWh,rule_pv_to_grid_kWh,rule_batt_to_house_kWh,rule_batt_to_grid_kWh,rule_grid_to_batt_kWh,rule_grid_to_house_kWh,rule_step_cost_€
2023-01-01 00:00:00,0.69492185,0.3131652,0.0030518174,0.026486814,0.125812366604805,0.2597880503769135,0.0,0.0,0.0,0.014496132731437683,4.735503867268562,0.13243407011032104,0.2452919176454758,0.0,2023-01-01 00:00:00,0.78898215,0.29974267,0.13024515,0.80500865,3.8237910866737366,0.6186644583940506,0.0,0.0,0.0,0.6186644583940506,4.131335541605949,4.025043249130249,0.0,0.0,2023-01-01 00:00:00,0.0,0.0,1.0,1.0,4.75,4.75,0.0,0.0,0.0,4.75,0.0,5.0,0.0,0.0
2023-01-01 01:00:00,0.8531216,0.3813725,0.004844427,0.033911794,0.2868933901190758,0.2049237345594495,0.0,0.0,0.0,0.0,0.0,0.16955897212028503,0.2049237345594495,-0.03744827066797345,2023-01-01 01:00:00,0.8972974,0.28967267,0.3063669,0.42286327,2.0086005553603172,1.1129088365019901,0.0,0.0,0.0,1.1129088365019901,2.5196926958380597,2.114316374063492,0.0,0.04053763217745682,2023-01-01 01:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-0.5
2023-01-01 02:00:00,0.8396249,0.37192154,0.0022333562,0.02030018,0.3833192437887192,0.177512072461465,0.0,0.0,0.0,0.0,0.0,0.10150089859962463,0.177512072461465,-0.3710872515112492,2023-01-01 02:00:00,0.5100026,0.76366717,0.7593292,0.18647893,0.8857749067246914,1.4489295997813458,0.0,0.0,0.0,1.4489295997813458,0.4592409278109555,0.9323946386575699,0.0,-0.6292944354259973,2023-01-01 02:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-6.65
2023-01-01 03:00:00,0.60614127,0.34101182,0.0009740293,0.016104668,0.45981641858816147,0.1875941066632982,0.0,0.0,0.0,0.0,0.0,0.08052334189414978,0.1875941066632982,-1.0939191901143879,2023-01-01 03:00:00,0.4926012,0.79345095,0.9618629,0.9706226,5.4962322525680065,0.1875941066632982,0.0,0.0,0.0,0.0,0.0,4.853112995624542,0.1875941066632982,-20.56608497733439,2023-01-01 03:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-20.4
2023-01-01 04:00:00,0.22111577,0.3089285,0.0016542971,0.0214777,0.561835490167141,0.2824891331324769,0.0,0.0,0.0,0.0,0.0,0.10738849639892578,0.2824891331324769,-1.6218909388506353,2023-01-01 04:00:00,0.7816688,0.4217296,0.7957808,0.025122333,0.6155633358284831,3.7799586951732635,0.0,0.0,0.0,3.7799586951732635,0.9700413048267365,0.12561166658997536,0.0,3.512827295064926,2023-01-01 04:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-20.8
2023-01-01 05:00:00,0.09868592,0.26668942,0.008641332,0.04920262,0.7955479398369789,0.379678442520703,0.0,0.0,0.0,0.0,0.0,0.2460131049156189,0.379678442520703,-2.2399757398220324,2023-01-01 05:00:00,0.844438,0.005486417,0.36889374,0.83421165,4.578068661503494,0.379678442520703,0.0,0.0,0.0,0.0,0.0,4.171058237552643,0.379678442520703,-16.291637314662577,2023-01-01 05:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-17.9
2023-01-01 06:00:00,0.07273197,0.25115278,0.06611812,0.17361012,1.6201960146427155,0.8039456244761057,0.0,0.0,0.0,0.0,0.0,0.86805060505867,0.8039456244761057,-7.30662352306697,2023-01-01 06:00:00,0.934179,0.60362947,0.73905885,0.47826657,2.2717661932110786,3.2142890617318556,0.0,0.0,0.0,3.2142890617318556,1.1348761666964633,2.39133283495903,0.0,-5.4907156403074175,2023-01-01 06:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-21.85
2023-01-01 07:00:00,0.078805536,0.15025544,0.36371827,0.23914948,1.1359600350260735,1.19816810070653,0.0,0.0,0.0,0.5598301488638437,0.9793560650467359,1.1957474052906036,0.6383379518426862,-0.10256751505038647,2023-01-01 07:00:00,0.310806,0.9903206,0.48470008,0.9616778,4.567969501018524,1.19816810070653,0.0,0.0,0.0,1.0460690008667954,1.112108882683729,4.808388948440552,0.15209909983973446,-0.46180549987158687,2023-01-01 07:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-0.6
2023-01-01 08:00:00,0.05117044,0.1398983,0.43168572,0.18413854,0.8746580481529236,0.8040397878369302,0.0,0.0,0.0,0.46585883492118146,0.6133031983535883,0.9206926822662354,0.33818095291574873,-0.038734226209703744,2023-01-01 08:00:00,0.308684,0.09314324,0.4399371,0.28915024,1.3734636306762695,1.9091383562674977,0.0,0.0,0.0,1.9091383562674977,2.4304326697001,1.4457511901855469,0.0,0.05908088877087318,2023-01-01 08:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,-0.3
2023-01-01 09:00:00,0.047686726,0.119635224,0.23587027,0.03709984,1.0637228481367826,0.5419107586766492,0.005387646287083625,0.013516387646198273,0.09407596606671809,0.0,0.0,0.1854991912841797,0.5365231123895655,0.0,2023-01-01 09:00:00,0.14095649,0.25524256,0.18529806,0.638511,3.0603226986166536,0.5419107586766492,0.01592526437938213,0.02883730401456356,0.06821743160605431,0.2417751329441401,1.0630153161983158,3.192555010318756,0.28421036135312694,0.0,2023-01-01 09:00:00,1.0,0.0,1.0,1.0,4.75,4.6254800000000005,0.11298,0.0,0.0,4.5125,0.0,5.0,0.0,0.0
