datetime,step,charge_batt_frac,use_batt_frac,soc_kWh,soc_ratio,pv_production_kWh,consumption_kWh,pv_to_house_kWh,pv_to_batt_kWh,pv_to_grid_kWh,batt_to_house_kWh,grid_to_house_kWh,step_cost_eur,degradation_penalty,reward
2023-01-01 03:00:00,0,0.9524270296096802,0.047019898891448975,4.99117934407206,0.49911793440720603,0.0,0.1875941066632982,0.0,0.0,0.0,0.008820655927939977,0.17877345073535822,0.026279697258097656,8.820655927939976e-06,-0.026288517914025596
2023-01-01 04:00:00,1,0.8957787156105042,0.147790789604187,4.9494300520318095,0.49494300520318096,0.0,0.2824891331324769,0.0,0.0,0.0,0.041749292040251074,0.24073984109222585,0.0353887566405572,4.1749292040251075e-05,-0.03543050593259745
2023-01-01 05:00:00,2,0.43266117572784424,0.6280569434165955,4.710970369941084,0.4710970369941084,0.0,0.379678442520703,0.0,0.0,0.0,0.23845968209072624,0.14121876042997675,0.02075915778320658,0.00023845968209072624,-0.020997617465297307
2023-01-01 06:00:00,3,0.1568603813648224,0.6361729502677917,4.199521910163237,0.4199521910163237,0.0,0.8039456244761057,0.0,0.0,0.0,0.5114484597778464,0.29249716469825937,0.061424404586634465,0.0005114484597778464,-0.06193585304641231
2023-01-01 07:00:00,4,0.19219091534614563,0.28064948320388794,3.8632566519085656,0.38632566519085654,0.0,1.19816810070653,0.0,0.0,0.0,0.3362652582546716,0.8619028424518583,0.18099959691489023,0.0003362652582546716,-0.1813358621731449
2023-01-01 08:00:00,5,0.09919360280036926,0.34912848472595215,3.5825434591216823,0.3582543459121682,0.0,0.8040397878369302,0.0,0.0,0.0,0.2807131927868835,0.5233265950500468,0.10989858496050982,0.0002807131927868835,-0.1101792981532967
2023-01-01 09:00:00,6,0.3370431065559387,0.7807526588439941,3.247654628824917,0.3247654628824917,0.11298,0.5419107586766492,0.11298,0.0,0.0,0.33488883029676547,0.09404192837988373,0.019748804959775584,0.00033488883029676546,-0.020083693790072348
2023-01-01 10:00:00,7,0.36845141649246216,0.15607482194900513,3.1932585527352004,0.31932585527352003,0.1248,0.4733256328371112,0.1248,0.0,0.0,0.05439607608971647,0.29412955674739477,0.0617672069169529,5.4396076089716476e-05,-0.06182160299304262
2023-01-01 11:00:00,8,0.3463113307952881,0.5337623357772827,3.1084841034785944,0.3108484103478594,0.33258,0.4914043373020212,0.33258,0.0,0.0,0.08477444925660586,0.07404988804541536,0.015550476489537226,8.477444925660586e-05,-0.01563525093879383
2023-01-01 12:00:00,9,0.8751463294029236,0.6624922156333923,3.0590896477909637,0.30590896477909635,0.81696,0.8915185450244208,0.81696,0.0,0.0,0.049394455687630595,0.025164089336790235,0.005284458760725949,4.9394455687630596e-05,-0.005333853216413579
2023-01-01 13:00:00,10,0.9382840394973755,0.7760715484619141,2.873791383718057,0.28737913837180573,0.41814,0.6569044083076451,0.41814,0.0,0.0,0.1852982640729068,0.05346614423473825,0.011227890289295031,0.00018529826407290683,-0.011413188553367938
2023-01-01 14:00:00,11,0.7029401063919067,0.8666867017745972,2.640325886840779,0.26403258868407786,0.2471999999999999,0.5165770383222017,0.2471999999999999,0.0,0.0,0.23346549687727838,0.03591154144492345,0.007541423703433924,0.0002334654968772784,-0.007774889200311203
2023-01-01 15:00:00,12,0.69520103931427,0.8146346807479858,2.2766827652490695,0.22766827652490695,0.1677,0.6140879701976563,0.1677,0.0,0.0,0.36364312159170914,0.08274484860594716,0.017376418207248903,0.00036364312159170917,-0.017740061328840612
